product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
High Drizzle,6,"Good flavor, moist",3,"Less chewy, bigge","['good', 'flavor', 'moist']","['less', 'chewy', 'bigge']",0.4404,0
Low Drizzle,7,"More cinnamon flavor, tasty",3,"Less chewy, bigger","['cinnamon', 'flavor', 'tasty']","['less', 'chewy', 'big']",0,0
Low Drizzle,7,"It tasted better than I anticipated. The texture was firmer than a roll, but softer than the appearance. Taste was nice. If it was marketed as a cinnamon roll cookie, I think that fits beter.",4,"A little more frosting. Or even frosting in the center. Also, it left my mouth with a filmy feeling that I would change.","['taste', 'well', 'anticipated', 'texture', 'firmer', 'roll', 'soft', 'appearance', 'taste', 'nice', 'market', 'cinnamon', 'roll', 'cookie', 'think', 'fit', 'beter']","['little', 'frost', 'even', 'frost', 'center', 'also', 'leave', 'mouth', 'filmy', 'feeling', 'would', 'change']",0.6858,0.128
High Drizzle,6,Lots of frosting and moist.,2,It was not flavorful - taste was a little bland. The cinnamon sweet flavor needed to be highlighted more.,"['lot', 'frost', 'moist']","['flavorful', 'taste', 'little', 'bland', 'cinnamon', 'sweet', 'flavor', 'need', 'highlight']",0,0.4588
High Drizzle,8,"Its size snack that was satisfying, filling and had the right amount of sweetness.",4,Maybe a little bigger,"['it\x92s', 'size', 'snack', 'satisfy', 'fill', 'right', 'amount', 'sweetness']","['maybe', 'little', 'big']",0.7351,0
Low Drizzle,9,Less frosting felt like a healthier option for my family which I liked. But I felt like it didnt have enough overall flavor.,4,Stronger flavor ingredients- a bit more flavor and frosting.,"['less', 'frost', 'felt', 'like', 'healthy', 'option', 'family', 'like', 'felt', 'like', 'didn\x92t', 'enough', 'overall', 'flavor']","['strong', 'flavor', 'ingredient', 'bite', 'flavor', 'frosting']",0.6567,0.3818
Low Drizzle,3,Cinnamon flavor,1,Seems gritty. Not soft enough. .  More like a chewy cookie.,"['cinnamon', 'flavor']","['seem', 'gritty', 'soft', 'enough', 'like', 'chewy', 'cookie']",0,0.4201
High Drizzle,6,Like the appearance of more frosting.  This sample was slightly softer.,2,Liked the amount of cinnamon flavor in sample Low Drizzle. High Drizzle has more vanilla flavor.,"['like', 'appearance', 'frost', 'sample', 'slightly', 'soft']","['liked', 'amount', 'cinnamon', 'flavor', 'sample', 'Low Drizzle', 'High Drizzle', 'vanilla', 'flavor']",0.3612,0.4215
High Drizzle,8,The cinnamon flavor was great,4,"Make it a little softer, slightly bigger","['cinnamon', 'flavor', 'great']","['make', 'little', 'soft', 'slightly', 'big']",0.6249,0
Low Drizzle,5,"Easy to eat,  it messy",3,Make it sweeter with more cinnamon flavor. Add a tiny bit more frosting.,"['easy', 'eat', 'messy']","['make', 'sweeter', 'cinnamon', 'flavor', 'add', 'tiny', 'bit', 'frost']",0.1027,0
Low Drizzle,7,I liked the texture. It wasnt quite what I expected it to be for a cinnamon roll but it worked. I was pleasantly surprised,3,Maybe slightly less cinnamon,"['liked', 'texture', 'wasn\x92t', 'quite', 'expect', 'cinnamon', 'roll', 'work', 'pleasantly', 'surprise']","['maybe', 'slightly', 'less', 'cinnamon']",0.8126,0
High Drizzle,7,I liked the amount of frosting. (I think kids always want the ones with the most frosting!) I also liked the texture.,3,Maybe slightly bigger,"['liked', 'amount', 'frost', 'think', 'kid', 'always', 'want', 'one', 'frost', 'also', 'like', 'texture']","['maybe', 'slightly', 'big']",0.7345,0
High Drizzle,8,Very nice and even flavor,4,Heat it slightly or encourage to do so,"['nice', 'even', 'flavor']","['heat', 'slightly', 'encourage']",0.4754,0.4627
Low Drizzle,6,Taste was good,3,Texture is grainy and a bit too much cinnamon,"['taste', 'good']","['texture', 'grainy', 'bit', 'much', 'cinnamon']",0.4404,0
Low Drizzle,8,It had a really nice cinnamon flavor,4,I would like it a little more chewy and less clumpy,"['really', 'nice', 'cinnamon', 'flavor']","['would', 'like', 'little', 'chewy', 'less', 'clumpy']",0.4754,0.3612
High Drizzle,9,It was exactly how chewy I would want it and had a great amount of frosting,4,I would make the cinnamon flavor stronger,"['exactly', 'chewy', 'would', 'want', 'great', 'amount', 'frosting']","['would', 'make', 'cinnamon', 'flavor', 'stronger']",0.6597,0.3818
High Drizzle,6,Frosting was yummy!,3,A tad bigger and tad less cinnamon  Maybe make frosting more gooey,"['frost', 'yummy']","['tad', 'big', 'tad', 'less', 'cinnamon', 'maybe', 'make', 'frost', 'gooey']",0.5707,0
Low Drizzle,8,The flavor was powerful and fun  A mini sweet treat,4,Just tad fluffier or thicker,"['flavor', 'powerful', 'fun', 'mini', 'sweet', 'treat']","['tad', 'fluffy', 'thicker']",0.8957,0
Low Drizzle,6,The overall flavor was really good.,2,"It looks like it is going to be really hard, almost like a small hard cookie. More frosting.","['overall', 'flavor', 'really', 'good']","['look', 'like', 'go', 'really', 'hard', 'almost', 'like', 'small', 'hard', 'cookie', 'frosting']",0.4927,0.3847
High Drizzle,6,The amount of frosting.,4,Mine was crunchy in spots which could have been the cinnamon. The cinnamon flavor was very strong.,"['amount', 'frosting']","['mine', 'crunchy', 'spot', 'could', 'cinnamon', 'cinnamon', 'flavor', 'strong']",0,0.5563
High Drizzle,3,"Not much, its sweet so thats satisfying but its too sugary crunchy sweet and the texture is so gooey",1,"Are it feel a taste like bread, fluffy fresh baked rolls","['much', 'it\x92s', 'sweet', 'that\x92s', 'satisfy', 'it\x92s', 'sugary', 'crunchy', 'sweet', 'texture', 'gooey']","['feel', 'taste', 'like', 'bread', 'fluffy', 'fresh', 'bake', 'roll']",-0.4255,0.5859
Low Drizzle,3,Its sweet so I guess thats satisfying when I want a sweet treat,1,Why call it a roll? Its really like a small cookie or bite . Im disappointed its not a fresh fluffy roll. Its pretty sweet and strangely soft/ moist,"['it\x92s', 'sweet', 'guess', 'that\x92s', 'satisfy', 'want', 'sweet', 'treat']","['call', 'roll', 'it\x92s', 'really', 'like', 'small', 'cookie', 'bite', 'i\x92m', 'disappoint', 'it\x92s', 'fresh', 'fluffy', 'roll', 'it\x92s', 'pretty', 'sweet', 'strangely', 'soft', 'moist']",0.9055,0.408
Low Drizzle,4,Easy snack size,3,"Less chewy, less cinnomon","['easy', 'snack', 'size']","['less', 'chewy', 'less', 'cinnomon']",0.4404,0
High Drizzle,6,Snack size,4,Less frosting and less like a cookie,"['snack', 'size']","['less', 'frost', 'less', 'like', 'cookie']",0,0.2975
High Drizzle,8,The size because I be able to put in a bag for snack on the go with the kids,5,Not so much frosting,"['size', 'able', 'put', 'bag', 'snack', 'go', 'kid']","['much', 'frosting']",0,0
Low Drizzle,8,It was less sweet,5,Little more cinnamon taste,"['less', 'sweet']","['little', 'cinnamon', 'taste']",0.4033,0
Low Drizzle,2,Softness,1,Not sure. I generally dont eat room temp cinnamon rolls,['softness'],"['sure', 'generally', 'don\x92t', 'eat', 'room', 'temp', 'cinnamon', 'roll']",0,-0.2411
High Drizzle,4,Easy and portable,2,Less frosting.,"['easy', 'portable']","['less', 'frost']",0.4404,0
High Drizzle,6,The cinnamon flavor,4,Too much frosting made it too sweet,"['cinnamon', 'flavor']","['much', 'frosting', 'make', 'sweet']",0,0.4588
Low Drizzle,7,"The cinnamon flavor, not too sweet",4,Nothing,"['cinnamon', 'flavor', 'sweet']",['nothing'],-0.357,0
Low Drizzle,5,Overall taste,3,Size,"['overall', 'taste']",['size'],0,0
High Drizzle,7,Flavor,4,Size,['flavor'],['size'],0,0
High Drizzle,3,The cinnamon roll has very good flavor and a pleasant aftertaste. It is what I expect of a sweetness of a cinnamon roll.,2,I would call this a cinnamon roll. It is like a thick chewy cinnamon roll cookie but very dense. The texture of a protein snack. I would make it more bread like.,"['cinnamon', 'roll', 'good', 'flavor', 'pleasant', 'aftertaste', 'expect', 'sweetness', 'cinnamon', 'roll']","['would', 'call', 'cinnamon', 'roll', 'like', 'thick', 'chewy', 'cinnamon', 'roll', 'cookie', 'dense', 'texture', 'protein', 'snack', 'would', 'make', 'bread', 'like']",0.8655,0.6124
Low Drizzle,3,It is an easy treat. Eating wise it was not my favorite.,2,"Needs to be sweeter, more icing, more like a cinnamon roll if advertised as one. This left a weird tacky flavor in my mouth.","['easy', 'treat', 'eat', 'wise', 'favorite']","['need', 'sweeter', 'ice', 'like', 'cinnamon', 'roll', 'advertise', 'one', 'left', 'weird', 'tacky', 'flavor', 'mouth']",0.7367,0.3306
Low Drizzle,7,The softness and the chewiness,3,Needs to be a bit sweeter. Little more frosting.,"['softness', 'chewiness']","['need', 'bite', 'sweet', 'little', 'frosting']",0,0
High Drizzle,8,The softness and the chewiness.  Right amount of sweetness.,3,The appearance of The Frosting.  Needs to not look stringy.,"['softness', 'chewiness', 'right', 'amount', 'sweetness']","['appearance', 'frost', 'need', 'look', 'stringy']",0.4939,0
High Drizzle,7,It was softer than I thought it would be. The icing and cinnamon were good,3,I know they are mini but these are tiny. They look bigger in the pictures.  They look like actual cinnamon rolls in the pic. The. Actual product looks nothing lie that,"['soft', 'thought', 'would', 'ice', 'cinnamon', 'good']","['know', 'mini', 'tiny', 'look', 'big', 'picture', 'look', 'like', 'actual', 'cinnamon', 'roll', 'pic', 'actual', 'product', 'look', 'nothing', 'lie']",0.4404,0.5023
Low Drizzle,7,It matched the picture   Just the right amount of frosting  Great flavor,3,Nothing,"['match', 'picture', 'right', 'amount', 'frost', 'great', 'flavor']",['nothing'],0.6249,0
Low Drizzle,2,It has enough sweetness and a good flavor.,2,I would make it at least double the size. I would also add a lot more moisture and some more frosting.,"['enough', 'sweetness', 'good', 'flavor']","['would', 'make', 'least', 'double', 'size', 'would', 'also', 'add', 'lot', 'moisture', 'frost']",0.7269,0
High Drizzle,2,It has an appropriate amount of frosting.,5,I would make them double the size and increase the moisture.,"['appropriate', 'amount', 'frosting']","['would', 'make', 'double', 'size', 'increase', 'moisture']",0,0.3182
High Drizzle,9,They were much smaller than I expected. The burst of flavor in each bite was really good. The cinnamon didnt overpower overall flavor.,5,I would add a little bit more of the drizzle of frosting.,"['much', 'small', 'expect', 'burst', 'flavor', 'bite', 'really', 'good', 'cinnamon', 'didn\x92t', 'overpower', 'overall', 'flavor']","['would', 'add', 'little', 'bit', 'drizzle', 'frosting']",0.4927,0
Low Drizzle,8,The size are just right.,3,I take a tad bit of cinnamon out and maybe a little more moisture needed.,"['size', 'right']","['take', 'tad', 'bit', 'cinnamon', 'maybe', 'little', 'moisture', 'need']",0,0
Low Drizzle,1,Cinnamon flavor was the only thing I liked about this prodict.,1,I would make it less doughy and more fluffy.,"['cinnamon', 'flavor', 'thing', 'like', 'prodict']","['would', 'make', 'less', 'doughy', 'fluffy']",0.4215,0
High Drizzle,2,The frosting was the best part.,1,Make it less doughy and more less artificial tasting.  Not a great product.,"['frost', 'best', 'part']","['make', 'less', 'doughy', 'less', 'artificial', 'taste', 'great', 'product']",0.6369,-0.5096
High Drizzle,7,"Perfect portion size, great flavor",4,"It was too doughy, almost like raw dough which was not appealing","['perfect', 'portion', 'size', 'great', 'flavor']","['doughy', 'almost', 'like', 'raw', 'dough', 'appealing']",0.8316,0.2975
Low Drizzle,8,Flavor was perfect. Texture was what I was hoping for. Liked that it was soft but not too chewy.,5,Nothing for Low Drizzle,"['flavor', 'perfect', 'texture', 'hop', 'like', 'soft', 'chewy']","['nothing', 'Low Drizzle']",0.631,0
Low Drizzle,3,Flavor,2,"Much bigger, HAS TO BR FLAKY",['flavor'],"['much', 'big', 'br', 'flaky']",0,0
High Drizzle,3,Frosting,1,"Stop calling it a cinnamon roll, its a wad of dough.",['frost'],"['stop', 'call', 'cinnamon', 'roll', 'it\x92s', 'wad', 'dough']",0,-0.296
High Drizzle,7,Flavor of cinnamon,3,Some crunch possibly,"['flavor', 'cinnamon']","['crunch', 'possibly']",0,0
Low Drizzle,6,Liked the visible texture,4,Some crumble topping,"['like', 'visible', 'texture']","['crumble', 'topping']",0.4215,0
Low Drizzle,7,The size and overall concept that it is ready to eat and take on the go.,2,More frosting flavor and softer texture.,"['size', 'overall', 'concept', 'ready', 'eat', 'take', 'go']","['frost', 'flavor', 'soft', 'texture']",0.3612,0
High Drizzle,8,The extra amount of frosting and sweet flavor.,5,Needs a little more cinnamon flavor and still not soft or moist enough.,"['extra', 'amount', 'frost', 'sweet', 'flavor']","['need', 'little', 'cinnamon', 'flavor', 'still', 'soft', 'moist', 'enough']",0.4588,0
High Drizzle,2,The cinnamon taste,1,Its more of a cookie than a roll. Not what I expected. Very dense. I would want a real roll.,"['cinnamon', 'taste']","['it\x92s', 'cookie', 'roll', 'expect', 'dense', 'would', 'want', 'real', 'roll']",0,0.144
Low Drizzle,2,This tasted very strong. The product is more of a cookie than a traditional cinnamon roll. It disappointed me. I expected warm cinnamon bites.,1,More of a roll /bread texture that is less dense. Less cinnamon for such a small amount.,"['taste', 'strong', 'product', 'cookie', 'traditional', 'cinnamon', 'roll', 'disappoint', 'expect', 'warm', 'cinnamon', 'bite']","['roll', 'bread', 'texture', 'less', 'dense', 'less', 'cinnamon', 'small', 'amount']",0.3384,0
Low Drizzle,2,Size was ok for snack,2,"Less sweet, less grainy, less artificial and chemical flavor","['size', 'ok', 'snack']","['less', 'sweet', 'less', 'grainy', 'less', 'artificial', 'chemical', 'flavor']",0.296,0.4033
High Drizzle,3,Visually more attractive than previous sample. Frosting creates aesthetic appeal,2,Make less sweet and less grainy.  Make more fluffy.,"['visually', 'attractive', 'previous', 'sample', 'frost', 'creates', 'aesthetic', 'appeal']","['make', 'less', 'sweet', 'less', 'grainy', 'make', 'fluffy']",0.6478,0.4033
High Drizzle,3,Pre made,3,Too dense,"['pre', 'make']",['dense'],0,0
Low Drizzle,2,Pre made,2,"More frosting, softer, less dense","['pre', 'make']","['frost', 'soft', 'less', 'dense']",0,0
Low Drizzle,9,"I loved how sweet, moist and chewy these are.  They are the perfect size and wonderful for that sweet craving as well",1,Nothing,"['love', 'sweet', 'moist', 'chewy', 'perfect', 'size', 'wonderful', 'sweet', 'craving', 'well']",['nothing'],0.9607,0
High Drizzle,7,I like the size as it looked as it would be much larger from the photo. It had great frosting and texture,2,More moist and a little more flavoring to add to the sweetness and cinnamon taste.,"['like', 'size', 'look', 'would', 'much', 'large', 'photo', 'great', 'frosting', 'texture']","['moist', 'little', 'flavoring', 'add', 'sweetness', 'cinnamon', 'taste']",0.765,0.4939
High Drizzle,8,So perfectly chewy. Good cinnamon flavor.,5,Nothing. I would buy. My kids would love it.,"['perfectly', 'chewy', 'good', 'cinnamon', 'flavor']","['nothing', 'would', 'buy', 'kid', 'would', 'love']",0.8251,0.6369
Low Drizzle,6,The texture is so good. Chewy and moist. Cinnamon flavor is also very good. Sweet so you dont need a ton. Good small snack for kids.,4,"More frosting, looks lackluster with the little amount of frosting.","['texture', 'good', 'chewy', 'moist', 'cinnamon', 'flavor', 'also', 'good', 'sweet', 'don\x92t', 'need', 'ton', 'good', 'small', 'snack', 'kid']","['frost', 'look', 'lackluster', 'little', 'amount', 'frost']",0.9282,0
Low Drizzle,6,Small size,4,Less sugar,"['small', 'size']","['less', 'sugar']",0,0
High Drizzle,2,Small size,1,"Less frosting, less sweet","['small', 'size']","['less', 'frost', 'less', 'sweet']",0,0.3492
High Drizzle,7,I really liked the size,5,"It looks like a mini cookie, can it be more roll also it looks dry","['really', 'liked', 'size']","['look', 'like', 'mini', 'cookie', '\x93roll\x94', 'also', 'look', 'dry']",0.4754,0.3612
Low Drizzle,8,The frosting amount was perfect,4,More cinnamon,"['frost', 'amount', 'perfect']",['cinnamon'],0.5719,0
Low Drizzle,8,That it kept it taste as if you were to bake them in the oven,5,Just a tab bit softer,"['keep', 'taste', 'bake', 'oven']","['tab', 'bit', 'softer']",0,0
High Drizzle,7,That you can taste the flavor and they are small,4,Needs more flavor and just a little bit softer,"['taste', 'flavor', 'small']","['need', 'flavor', 'little', 'bit', 'soft']",0,0
High Drizzle,2,Easy to pick up and eat.,1,Make it fluffier and less chewy or dense. Flavor is so strong,"['easy', 'pick', 'eat']","['make', 'fluffy', 'less', 'chewy', 'dense', 'flavor', 'strong']",0.4404,0.6418
Low Drizzle,2,Easy to pick up and eat.,2,"Too chewy and soft, was more like a cookie","['easy', 'pick', 'eat']","['chewy', 'soft', 'like', 'cookie']",0.4404,0.4201
Low Drizzle,4,Not messy,2,Size bigger,['messy'],"['size', 'big']",0.2755,0
High Drizzle,4,Ample cinnamon flavor and visual,3,"Less dense, fluffier","['ample', 'cinnamon', 'flavor', 'visual']","['less', 'dense', 'fluffier']",0,0
High Drizzle,6,Cinnamon flavor was great and frosting was sweet,2,Actually make it look like a cinnamon roll instead of prepackaged cookie. I was expecting a mini baked cinnamon roll from a tube. Would make them slightly larger,"['cinnamon', 'flavor', 'great', 'frosting', 'sweet']","['actually', 'make', 'look', 'like', 'cinnamon', 'roll', 'instead', 'prepackaged', 'cookie', 'expect', 'mini', 'bake', 'cinnamon', 'roll', 'tube', 'would', 'make', 'slightly', 'large']",0.7964,0.3612
Low Drizzle,6,Very soft and moist,2,More cinnamon and more frosting. I want it to look like a mini cinnamon roll that would come out of the tube. Would like it slightly larger,"['soft', 'moist']","['cinnamon', 'frost', 'want', 'look', 'like', 'mini', 'cinnamon', 'roll', 'would', 'come', 'tube', 'would', 'like', 'slightly', 'large']",0,0.6786
Low Drizzle,8,It was moist and dense and had a good cinnamon flavor,4,I did not expect it to be so small,"['moist', 'dense', 'good', 'cinnamon', 'flavor']","['expect', 'small']",0.4404,0
High Drizzle,8,I like the strong cinnamon flavor and that it is not overly sweet,4,I think they could be a little bit bigger,"['like', 'strong', 'cinnamon', 'flavor', 'overly', 'sweet']","['think', 'could', 'little', 'bit', 'big']",0.5139,0
High Drizzle,7,The taste is great as well as the texture,3,The shape looks pretty flat but I could live with it,"['taste', 'great', 'well', 'texture']","['shape', 'look', 'pretty', 'flat', 'could', 'live']",0.7351,0.2732
Low Drizzle,7,Flavor,4,More cinnamon flavor,['flavor'],"['cinnamon', 'flavor']",0,0
Low Drizzle,5,I like the flavor and the softness of the cinnamon roll.,2,"Not enough frosting, frosting is too hard and not soft, product is more of a cookie than a cinnamon roll.","['like', 'flavor', 'softness', 'cinnamon', 'roll']","['enough', 'frost', 'frost', 'hard', 'soft', 'product', 'cookie', 'cinnamon', 'roll']",0.3612,-0.1027
High Drizzle,6,I like the flavor of the cinnamon roll as well as the texture.,3,I would make the frosting softer and the cookie bigger.,"['like', 'flavor', 'cinnamon', 'roll', 'well', 'texture']","['would', 'make', 'frosting', 'soft', 'cookie', 'big']",0.5574,0
High Drizzle,8,I really like the cinnamon flavor and overall taste. I especially like the texture and our kids would love these as  a special breakfast treat.,4,I would like if they were a bit smaller and taller.,"['really', 'like', 'cinnamon', 'flavor', 'overall', 'taste', 'especially', 'like', 'texture', 'kid', 'would', 'love', 'special', 'breakfast', 'treat']","['would', 'like', 'bit', 'small', 'taller']",0.9347,0.3612
Low Drizzle,8,"It tastes just like a mini cinnamon roll, so it met my expectations. Nice flavor, texture was a little gritty.",4,A little bigger and taller and a little less grit in the texture.,"['taste', 'like', 'mini', 'cinnamon', 'roll', 'meet', 'expectation', 'nice', 'flavor', 'texture', 'little', 'gritty']","['little', 'big', 'taller', 'little', 'less', 'grit', 'texture']",0.6486,0
Low Drizzle,3,Frosting,2,"Not so much cinnamon, make it a more doughy texture",['frost'],"['much', 'cinnamon', 'make', 'doughy', 'texture']",0,0
High Drizzle,6,"Better texture to a real cinnamon roll, not as strong cinnamon",2,Less cinnnamon,"['well', 'texture', 'real', 'cinnamon', 'roll', 'strong', 'cinnamon']","['less', 'cinnnamon']",0.0511,0
High Drizzle,7,The taste is enjoyable and sweet,4,It seems a bit dry and the size is quite small ~ it would take a lot to feed my kids. I would make it moist and increase the size by even just a little.,"['taste', 'enjoyable', 'sweet']","['seem', 'bit', 'dry', 'size', 'quite', 'small', 'would', 'take', 'lot', 'feed', 'kid', 'would', 'make', 'moist', 'increase', 'size', 'even', 'little']",0.7096,0.3182
Low Drizzle,7,The taste was good and not too sweet,4,More moist and slightly larger size,"['taste', 'good', 'sweet']","['moist', 'slightly', 'large', 'size']",0.1078,0
Low Drizzle,9,The overall flavor.;  good mix of cinnamon flavor and dough,5,A little more frosting or the option to microwave a small packet of frosting and dip in it,"['overall', 'flavor', 'good', 'mix', 'cinnamon', 'flavor', 'dough']","['little', 'frost', 'option', 'microwave', 'small', 'packet', 'frost', 'dip']",0.4404,0
High Drizzle,9,"The amount of cinnamon ,frosting , and dough made a really good mix",5,"Little larger size, depending on how many came in a serving","['amount', 'cinnamon', 'frost', 'dough', 'make', 'really', 'good', 'mix']","['little', 'large', 'size', 'depend', 'many', 'come', 'serve']",0.4927,0
High Drizzle,9,Overall this hit the make with the right combo of flavor and amount of each flavor,5,Make it a little bigger.,"['overall', 'hit', 'make', 'right', 'combo', 'flavor', 'amount', 'flavor']","['make', 'little', 'big']",0,0
Low Drizzle,7,Good flavor,3,Balance the flavors more like the first. More frosting.,"['good', 'flavor']","['balance', 'flavor', 'like', 'first', 'frosting']",0.4404,0.4201
Low Drizzle,3,I really liked the taste. Thought that it would be less taste than original size but it packed in the right amount of sweetness. I loved that it was chewy but not too chewy. Wish it was a little bit bigger in diameter,2,I would make it with a little more frosting.,"['really', 'liked', 'taste', 'think', 'would', 'less', 'taste', 'original', 'size', 'pack', 'right', 'amount', 'sweetness', 'love', 'chewy', 'chewy', 'wish', 'little', 'bit', 'big', 'diameter']","['would', 'make', 'little', 'frosting']",0.8841,0
High Drizzle,8,I liked that there was more frosting as not only do I want the cinnamon flavor but wanted the frosting just equal,4,Size is too small,"['like', 'frosting', 'want', 'cinnamon', 'flavor', 'want', 'frost', 'equal']","['size', 'small']",0.1996,0
High Drizzle,5,Good bite size amount.,3,Make product not so dense,"['good', 'bite', 'size', 'amount']","['make', 'product', 'dense']",0.4404,0
Low Drizzle,6,Not too much frosting,3,A little bigger in size,"['much', 'frosting']","['little', 'big', 'size']",0,0
Low Drizzle,7,The amount of cinnamon,3,"The look, it looks like a cookie not a cinnamon roll.","['amount', 'cinnamon']","['look', 'look', 'like', 'cookie', 'cinnamon', 'roll']",0,0.3612
High Drizzle,6,That it is moist.,3,"Too chewy, too muck like a cookie than a bread roll.",['moist'],"['chewy', 'muck', 'like', 'cookie', 'bread', 'roll']",0,0.3612
High Drizzle,8,It was a tasty snack and I could see wanting this driving on trips in the car.  Just enough and not too much.,4,Less frosting. We bake cinnamon rolls and leave off the frosting.,"['tasty', 'snack', 'could', 'see', 'want', 'drive', 'trip', 'car', 'enough', 'much']","['less', 'frost', 'bake', 'cinnamon', 'roll', 'leave', 'frost']",0,-0.0516
Low Drizzle,7,There is about the right amount of frosting but it seems a little more like a cookie and less like a cinnamon roll.  As a cookie it seems undone and gooey.,4,I liked the first one better if the first one had less frosting,"['right', 'amount', 'frost', 'seem', 'little', 'like', 'cookie', 'le', 'like', 'cinnamon', 'roll', 'cookie', 'seem', 'undone', 'gooey']","['like', 'first', 'one', 'good', 'first', 'one', 'less', 'frosting']",0.7611,0.6908
Low Drizzle,5,"I liked that it was like a cookie, not a cinnamon  roll.",2,"Well, if you want it to be a cinnamon roll then it needs to come apart, this is just like one solid piece","['like', 'like', 'cookie', 'cinnamon', 'roll']","['well', 'want', 'cinnamon', 'roll', 'need', 'come', 'apart', 'like', 'one', 'solid', 'piece']",0.6486,0.6705
High Drizzle,6,I do not like this. It tastes more artificial than the last one.,2,"I would make it taller, less frosting, swirled","['like', 'taste', 'artificial', 'last', 'one']","['would', 'make', 'taller', 'less', 'frosting', 'swirl']",-0.2755,0
High Drizzle,6,Size good for quick breakfast,3,Maybe could be heated up,"['size', 'good', 'quick', 'breakfast']","['maybe', 'could', 'heat']",0.4404,0
Low Drizzle,5,Size,4,More frosting,['size'],['frost'],0,0
Low Drizzle,5,Taste was dry not very appealing,4,More flavor or chewiness,"['taste', 'dry', 'appealing']","['flavor', 'chewiness']",0,0
High Drizzle,4,The frosting,3,Not soft enough should be served warm,['frost'],"['soft', 'enough', 'serve', 'warm']",0,0.2263
High Drizzle,9,"I could eat the whole roll in one bite, and it wasnt to big for my mouth to do so. Perfect size",5,"Its perfect, I would change nothing","['could', 'eat', 'whole', 'roll', 'one', 'bite', 'wasn\x92t', 'big', 'mouth', 'perfect', 'size']","['it\x92s', 'perfect', 'would', 'change', 'nothing']",0.6948,0.5719
Low Drizzle,8,Can eat the whole roll in one bite,4,Add more frosting,"['eat', 'whole', 'roll', 'one', 'bite']","['add', 'frost']",0,0
Low Drizzle,4,I enjoyed the flavor of the cinnamon roll.  The size was about right for a mini cinnamon roll.,3,The texture was not what I expected and not like any cinnamon roll Ive tasted.  It was chewy and more dense than I would like.,"['enjoy', 'flavor', 'cinnamon', 'roll', 'size', 'right', 'mini', 'cinnamon', 'roll']","['texture', 'expect', 'like', 'cinnamon', 'roll', 'i\x92ve', 'taste', 'chewy', 'dense', 'would', 'like']",0.5106,-0.4973
High Drizzle,7,I like the flavor and sweetness of the cinnamon roll.  The cinnamon roll had a generous amount of frosting.,4,The cinnamon roll was much too chewy.  The texture reminded me more of a cookie than a cinnamon roll.,"['like', 'flavor', 'sweetness', 'cinnamon', 'roll', 'cinnamon', 'roll', 'generous', 'amount', 'frosting']","['cinnamon', 'roll', 'much', 'chewy', 'texture', 'remind', 'cookie', 'cinnamon', 'roll']",0.8402,0
High Drizzle,2,Cinnamon flavor was good,1,Bad after taste/too small,"['cinnamon', 'flavor', 'good']","['bad', 'tastetoo', 'small']",0.4404,-0.5423
Low Drizzle,3,Good flavor,2,Bigger size and more frosting,"['good', 'flavor']","['big', 'size', 'frosting']",0.4404,0
Low Drizzle,8,The bite sized cinnamon flavor with sweet after tastes.,1,It was a little grainy.,"['bite', 'sized', 'cinnamon', 'flavor', 'sweet', 'taste']","['little', 'grainy']",0.4588,0
High Drizzle,9,Great flavor notes of cinnamon with the right amount of sweetness.,1,A little bigger in size and a smidge less grit.,"['great', 'flavor', 'note', 'cinnamon', 'right', 'amount', 'sweetness']","['little', 'big', 'size', 'smidge', 'less', 'grit']",0.8074,0
High Drizzle,1,I didnt like anything. It was disgusting.,1,It needs less cinnamon and a doughier texture. It is more like a cookie than a roll. The flavor was very off.,"['didn\x92t', 'like', 'anything', 'disgust']","['need', 'less', 'cinnamon', 'doughy', 'texture', 'like', 'cookie', 'roll', 'flavor']",-0.2263,0.4201
Low Drizzle,1,This is very disappointing. I miss the dough. Gross.,1,It needs to be more doughy. It needs more natural flavoring.,"['disappoint', 'miss', 'dough', 'gross']","['need', 'doughy', 'need', 'natural', 'flavoring']",-0.8162,0.4201
Low Drizzle,2,The flavor was great and it was the taste of a cinnamon roll,2,The texture was horrible it was extremely dry and was more the a biscuit type of cookie,"['flavor', 'great', 'taste', 'cinnamon', 'roll']","['texture', 'horrible', 'extremely', 'dry', 'biscuit', 'type', 'cookie']",0.6249,-0.5423
High Drizzle,2,I really like the amount of sweetness because its not overly sweet and the cinnamon flavor was just enough,2,The texture was way off it was not  soft like a real cinnamon roll and was like biscuit,"['really', 'like', 'amount', 'sweetness', 'it\x92s', 'overly', 'sweet', 'cinnamon', 'flavor', 'enough']","['texture', 'way', 'soft', 'like', 'real', 'cinnamon', 'roll', 'like', 'biscuit']",0.5443,-0.4973
High Drizzle,6,It reminded me of Christmas meaning the flavor. Maybe this should be a fall or winter special like the pumpkin spice.,2,Make them look more like cinnamon rolls they look like cookies with frosting.,"['remind', 'christmas', 'mean', 'flavor', 'maybe', 'fall', 'winter', 'special', 'like', 'pumpkin', 'spice']","['make', 'look', 'like', 'cinnamon', 'roll', 'look', 'like', 'cooky', 'frost']",0.6369,0.6794
