product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
High Drizzle,2,Nothing,1,"Make it a cinnamon roll, not a cookie bite.",['nothing'],"['make', 'cinnamon', 'roll', 'cookie', 'bite']",0,0
High Drizzle,6,While I liked the texture the most it was not what I was expecting from a cinnamon roll but very good,3,Less vanilla flavor more cinnemon,"['liked', 'texture', 'expect', 'cinnamon', 'roll', 'good']","['less', 'vanilla', 'flavor', 'cinnemon']",0.7343,0
Low Drizzle,7,The cinnamon flavor and the after taste,3,It is a little too dense for me,"['cinnamon', 'flavor', 'taste']","['little', 'dense']",0,0
Low Drizzle,5,I like the size and the initial flavor,3,Id like it to be a little puffier-more like a cinnamon roll.   I also think it should be a little bigger.,"['like', 'size', 'initial', 'flavor']","['i\x92d', 'like', 'little', '\x93puffier\x94more', 'like', 'cinnamon', 'roll', 'also', 'think', 'little', 'big']",0.3612,0.6124
High Drizzle,6,It didnt leave the aftertaste that the previous sample did and was just the right amount of sweetness.,3,"Make it puffier and maybe a rolling pattern, like an actual cinnamon roll.","['didn\x92t', 'leave', 'aftertaste', 'previous', 'sample', 'right', 'amount', 'sweetness']","['make', '\x93puffier\x94', 'maybe', 'roll', 'pattern', 'like', 'actual', 'cinnamon', 'roll']",0.4588,0.3612
High Drizzle,2,"Small size, bite size, good for little fingers, kids.",2,"Less sweet, a little bigger, less frosting","['small', 'size', 'bite', 'size', 'good', 'little', 'finger', 'kid']","['less', 'sweet', 'little', 'big', 'less', 'frost']",0.4404,0.4033
Low Drizzle,4,"Just enough frosting, bite size and good for small hands",4,"Too dense, tastes doughy, too sweet, leaves a fatty residue taste in my mouth","['enough', 'frost', 'bite', 'size', 'good', 'small', 'hand']","['dense', 'taste', 'doughy', 'sweet', 'leaf', 'fatty', 'residue', 'taste', 'mouth']",0.4404,0.4588
Low Drizzle,2,It much actually,2,"They r too small. How many would I have to eat to make it into a roll? Why not make the, larger to begin with. Seems like a lot of ,easing around for mini mini rolls","['much', 'actually']","['r', 'small', 'many', 'would', 'eat', 'make', 'roll', 'make', 'large', 'begin', 'seem', 'like', 'lot', 'ease', 'around', 'mini', 'mini', 'roll']",0,0.5423
High Drizzle,4,It a lot other than it had more frosting,2,It tastes like fake or imitation cinnamon. Leaves weird aftertaste kinda like the fake aspartame does,"['lot', 'frost']","['taste', 'like', 'fake', 'imitation', 'cinnamon', 'leave', 'weird', 'aftertaste', 'kinda', 'like', 'fake', 'aspartame']",0,-0.4404
High Drizzle,3,I liked the cinnamon flavor and the amount of frosting.,3,"It was much too dense and chewy for me. I expected it to be flakier. Also, it was much more condensed than the picture.","['liked', 'cinnamon', 'flavor', 'amount', 'frost']","['much', 'dense', 'chewy', 'expect', 'flakier', 'also', 'much', 'condense', 'picture']",0.4215,0
