product_code,liking,liking_free_text,like_compound,meets_expectation,meets_expectation_free_text,meets_expectation_compound,product_improvement_free_text,prod_improve_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm
Chobani Smooth,7,"Price, less sugar, more protein, strawberry flavor. I would have wanted to eat another one right after this because the flavor was good.",0.4404,3,Would like the nutrition information on containers.,0.3612,Make more filling. I would have had to eat both to feel like I was half full.,0.3612,"['price', 'le', 'sugar', 'protein', 'strawberry', 'flavor', 'would', 'want', 'eat', 'another', 'one', 'right', 'flavor', 'good']","['would', 'like', 'nutrition', 'information', 'container']","['make', 'filling', 'would', 'eat', 'feel', 'like', 'half', 'full']"
Yoplait OSY,8,Very Smooth and Creamy texture.,0,3,The amount of fruit at the bottom is a little misleading.  Needs to be more fruit.,-0.3415,"A little sweeter,  More strawberry chunks at the bottom of the cup.",0,"['smooth', 'creamy', 'texture']","['amount', 'fruit', 'bottom', 'little', 'misleading', 'need', 'fruit']","['little', 'sweeter', 'strawberry', 'chunk', 'bottom', 'cup']"
Chobani Smooth,7,I like the smooth texture and even flavors throughout,0.3612,4,Did not expect fruit chunks being as it is supposed to be smooth,0,"There were a few small fruit chunks that I did not like, especially because it is being marketed as smooth",-0.2755,"['like', 'smooth', 'texture', 'even', 'flavor', 'throughout']","['expect', 'fruit', 'chunk', 'suppose', 'smooth']","['small', 'fruit', 'chunk', 'like', 'especially', 'market', 'smooth']"
Yoplait OSY,4,I really liked the thickness of it - it felt heavy (solid),0.4754,2,The word  Greek  should be bigger/bolder to stand out more and the picture of the strawberry should be smaller,0,I would change the texture of the strawberries. It was too  jellied  and felt/tasted fake and artificial,-0.4767,"['really', 'liked', 'thickness', 'felt', 'heavy', 'solid']","['word', 'greek', 'biggerbolder', 'stand', 'picture', 'strawberry', 'small']","['would', 'change', 'texture', 'strawberry', 'jelly', 'felttasted', 'fake', 'artificial']"
Chobani Smooth,7,"Smoothness, the right amount of sweetness",0.4939,4,"It did not have very much strawberry flavor. If this is the intention, then maybe describe it as  strawberry kiss  or something.",0.4215,Increase strawberry flavor a little.,0.3182,"['smoothness', 'right', 'amount', 'sweetness']","['much', 'strawberry', 'flavor', 'intention', 'maybe', 'describe', 'strawberry', 'kiss', 'something']","['increase', 'strawberry', 'flavor', 'little']"
Yoplait OSY,8,"The nutrition label was one of the top reasons I liked this yogurt. I love that it is fat free!     Looking at the first page, I thought there were a variety of appealing flavors to choose from.    Taste: The texture was pretty good, but it could have been smoother. I stirred mine quite a bit and still had some small chunks of yogurt. However, I really liked the size and taste of the strawberries!",0.9244,5,"The only thing i found confusing was the outside package label, it stated  Strawberries on the bottom . This gave me the impression the yogurt would be sitting on strawberries and the consumer would have to mix them together. However, I opened the yogurt without shaking it, and the yogurt and strawberries were already mixed together with a salmon color. Therefore, this aspect of the product was misguiding.",0.1326,"Like above I would prefer a slightly bit smoother yogurt, but this would not prevent me from buying this in the future. This was a great product!",0.8216,"['nutrition', 'label', 'one', 'top', 'reason', 'like', 'yogurt', 'love', 'fat', 'free', 'look', 'first', 'page', 'think', 'variety', 'appeal', 'flavor', 'choose', 'taste', 'texture', 'pretty', 'good', 'could', 'smoother', 'stir', 'mine', 'quite', 'bit', 'still', 'small', 'chunk', 'yogurt', 'however', 'really', 'liked', 'size', 'taste', 'strawberry']","['thing', 'find', 'confuse', 'outside', 'package', 'label', 'state', 'strawberry', 'bottom', 'give', 'impression', 'yogurt', 'would', 'sit', 'strawberry', 'consumer', 'would', 'mix', 'together', 'however', 'open', 'yogurt', 'without', 'shake', 'yogurt', 'strawberry', 'already', 'mixed', 'together', 'salmon', 'color', 'therefore', 'aspect', 'product', 'misguiding']","['like', 'would', 'prefer', 'slightly', 'bit', 'smooth', 'yogurt', 'would', 'prevent', 'buying', 'future', 'great', 'product']"
Chobani Smooth,8,I liked the strawberry flavor and the fruit pieces.It was smooth and had a nice taste.,0.6808,3,I was surprised that this yogurt wasn't Greek yogurt. The packaging wasn't totally clear as I associate Chobani with Greek yogurt.,-0.1282,I'm not sure that I would change anything. I would like it better if it were Greek.,0.5327,"['like', 'strawberry', 'flavor', 'fruit', 'piecesit', 'smooth', 'nice', 'taste']","['surprised', 'yogurt', 'wasnt', 'greek', 'yogurt', 'packaging', 'wasnt', 'totally', 'clear', 'associate', 'chobani', 'greek', 'yogurt']","['im', 'sure', 'would', 'change', 'anything', 'would', 'like', 'good', 'greek']"
Yoplait OSY,9,I like the thickness of the yogurt and the taste of the Greek yogurt.  It was not sour or too sweet.  There was a good balance of strawberry to yogurt and I liked finding a chunk of strawberry.  I like the packaging because it is unique and easy to find in the yogurt section of a store.,0.9393,3,Nothing unexpected- this is a yogurt I commonly buy.,0,It would be nice to have more strawberry pieces.,0.4215,"['like', 'thickness', 'yogurt', 'taste', 'greek', 'yogurt', 'sour', 'sweet', 'good', 'balance', 'strawberry', 'yogurt', 'like', 'find', 'chunk', 'strawberry', 'like', 'package', 'unique', 'easy', 'find', 'yogurt', 'section', 'store']","['nothing', 'unexpected', 'yogurt', 'commonly', 'buy']","['would', 'nice', 'strawberry', 'piece']"
Chobani Smooth,6,"I liked the creaminess of the product. I also liked the nice, subtle flavor.",0.8126,4,I was surprised by the amount of creaminess and also the limited number of chunks of fruit.,0.0772,I would like to see more pieces of fruit in the yogurt. It seemed sort of skimpy on number of fruit pieces.,0.4215,"['liked', 'creaminess', 'product', 'also', 'like', 'nice', 'subtle', 'flavor']","['surprised', 'amount', 'creaminess', 'also', 'limit', 'number', 'chunk', 'fruit']","['would', 'like', 'see', 'piece', 'fruit', 'yogurt', 'seem', 'sort', 'skimpy', 'number', 'fruit', 'piece']"
Yoplait OSY,8,"Thick, creamy consistency - the thickness makes it seem more like a dessert!  Natural ingredients, good strawberry flavor, no growth hormones.",0.8461,4,Nothing - it has all the information I need and the information is easy to find.,0.4404,Would rather have the strawberry mixed into the yogurt (no fruit on the bottom).  I don't like the big strawberry pieces in the fruit on the bottom - not firm and fresh tasting.,-0.4717,"['thick', 'creamy', 'consistency', 'thickness', 'make', 'seem', 'like', 'dessert', 'natural', 'ingredient', 'good', 'strawberry', 'flavor', 'growth', 'hormone']","['nothing', 'information', 'need', 'information', 'easy', 'find']","['would', 'rather', 'strawberry', 'mixed', 'yogurt', 'fruit', 'bottom', 'dont', 'like', 'big', 'strawberry', 'piece', 'fruit', 'bottom', 'firm', 'fresh', 'taste']"
