product,Question,Response,Sentiment Score,Response value,lemm
Low Drizzle,Change,Texture is grainy and a bit too much cinnamon,0,3,"['texture', 'grainy', 'bit', 'much', 'cinnamon']"
Low Drizzle,Change,I would like it a little more chewy and less clumpy,36.12,4,"['would', 'like', 'little', 'chewy', 'less', 'clumpy']"
High Drizzle,Change,I would make the cinnamon flavor stronger,38.18,4,"['would', 'make', 'cinnamon', 'flavor', 'stronger']"
High Drizzle,Change,A tad bigger and tad less cinnamon  Maybe make frosting more gooey,0,3,"['tad', 'big', 'tad', 'less', 'cinnamon', 'maybe', 'make', 'frost', 'gooey']"
Low Drizzle,Change,Just tad fluffier or thicker,0,4,"['tad', 'fluffy', 'thicker']"
Low Drizzle,Change,"It looks like it is going to be really hard, almost like a small hard cookie. More frosting.",38.47,2,"['look', 'like', 'go', 'really', 'hard', 'almost', 'like', 'small', 'hard', 'cookie', 'frosting']"
High Drizzle,Change,Mine was crunchy in spots which could have been the cinnamon. The cinnamon flavor was very strong.,55.63,4,"['mine', 'crunchy', 'spot', 'could', 'cinnamon', 'cinnamon', 'flavor', 'strong']"
High Drizzle,Change,"Are it feel a taste like bread, fluffy fresh baked rolls",58.59,1,"['feel', 'taste', 'like', 'bread', 'fluffy', 'fresh', 'bake', 'roll']"
Low Drizzle,Change,Why call it a roll? Its really like a small cookie or bite . Im disappointed its not a fresh fluffy roll. Its pretty sweet and strangely soft/ moist,40.8,1,"['call', 'roll', 'it\x92s', 'really', 'like', 'small', 'cookie', 'bite', 'i\x92m', 'disappoint', 'it\x92s', 'fresh', 'fluffy', 'roll', 'it\x92s', 'pretty', 'sweet', 'strangely', 'soft', 'moist']"
Low Drizzle,Change,"Less chewy, less cinnomon",0,3,"['less', 'chewy', 'less', 'cinnomon']"
High Drizzle,Change,Less frosting and less like a cookie,29.75,4,"['less', 'frost', 'less', 'like', 'cookie']"
High Drizzle,Change,Not so much frosting,0,5,"['much', 'frosting']"
Low Drizzle,Change,Little more cinnamon taste,0,5,"['little', 'cinnamon', 'taste']"
Low Drizzle,Change,Not sure. I generally dont eat room temp cinnamon rolls,-24.11,1,"['sure', 'generally', 'don\x92t', 'eat', 'room', 'temp', 'cinnamon', 'roll']"
High Drizzle,Change,Less frosting.,0,2,"['less', 'frost']"
High Drizzle,Change,Too much frosting made it too sweet,45.88,4,"['much', 'frosting', 'make', 'sweet']"
Low Drizzle,Change,Nothing,0,4,['nothing']
Low Drizzle,Change,Size,0,3,['size']
High Drizzle,Change,Size,0,4,['size']
High Drizzle,Change,I would call this a cinnamon roll. It is like a thick chewy cinnamon roll cookie but very dense. The texture of a protein snack. I would make it more bread like.,61.24,2,"['would', 'call', 'cinnamon', 'roll', 'like', 'thick', 'chewy', 'cinnamon', 'roll', 'cookie', 'dense', 'texture', 'protein', 'snack', 'would', 'make', 'bread', 'like']"
Low Drizzle,Change,"Needs to be sweeter, more icing, more like a cinnamon roll if advertised as one. This left a weird tacky flavor in my mouth.",33.06,2,"['need', 'sweeter', 'ice', 'like', 'cinnamon', 'roll', 'advertise', 'one', 'left', 'weird', 'tacky', 'flavor', 'mouth']"
Low Drizzle,Change,Needs to be a bit sweeter. Little more frosting.,0,3,"['need', 'bite', 'sweet', 'little', 'frosting']"
High Drizzle,Change,The appearance of The Frosting.  Needs to not look stringy.,0,3,"['appearance', 'frost', 'need', 'look', 'stringy']"
High Drizzle,Change,I know they are mini but these are tiny. They look bigger in the pictures.  They look like actual cinnamon rolls in the pic. The. Actual product looks nothing lie that,50.23,3,"['know', 'mini', 'tiny', 'look', 'big', 'picture', 'look', 'like', 'actual', 'cinnamon', 'roll', 'pic', 'actual', 'product', 'look', 'nothing', 'lie']"
Low Drizzle,Change,Nothing,0,3,['nothing']
Low Drizzle,Change,I would make it at least double the size. I would also add a lot more moisture and some more frosting.,0,2,"['would', 'make', 'least', 'double', 'size', 'would', 'also', 'add', 'lot', 'moisture', 'frost']"
High Drizzle,Change,I would make them double the size and increase the moisture.,31.82,5,"['would', 'make', 'double', 'size', 'increase', 'moisture']"
High Drizzle,Change,I would add a little bit more of the drizzle of frosting.,0,5,"['would', 'add', 'little', 'bit', 'drizzle', 'frosting']"
Low Drizzle,Change,I take a tad bit of cinnamon out and maybe a little more moisture needed.,0,3,"['take', 'tad', 'bit', 'cinnamon', 'maybe', 'little', 'moisture', 'need']"
Low Drizzle,Change,I would make it less doughy and more fluffy.,0,1,"['would', 'make', 'less', 'doughy', 'fluffy']"
High Drizzle,Change,Make it less doughy and more less artificial tasting.  Not a great product.,-50.96,1,"['make', 'less', 'doughy', 'less', 'artificial', 'taste', 'great', 'product']"
High Drizzle,Change,"It was too doughy, almost like raw dough which was not appealing",29.75,4,"['doughy', 'almost', 'like', 'raw', 'dough', 'appealing']"
Low Drizzle,Change,Nothing for Low Drizzle,0,5,"['nothing', 'Low Drizzle']"
Low Drizzle,Change,"Much bigger, HAS TO BR FLAKY",0,2,"['much', 'big', 'br', 'flaky']"
High Drizzle,Change,"Stop calling it a cinnamon roll, its a wad of dough.",-29.6,1,"['stop', 'call', 'cinnamon', 'roll', 'it\x92s', 'wad', 'dough']"
High Drizzle,Change,Some crunch possibly,0,3,"['crunch', 'possibly']"
Low Drizzle,Change,Some crumble topping,0,4,"['crumble', 'topping']"
Low Drizzle,Change,More frosting flavor and softer texture.,0,2,"['frost', 'flavor', 'soft', 'texture']"
High Drizzle,Change,Needs a little more cinnamon flavor and still not soft or moist enough.,0,5,"['need', 'little', 'cinnamon', 'flavor', 'still', 'soft', 'moist', 'enough']"
High Drizzle,Change,Its more of a cookie than a roll. Not what I expected. Very dense. I would want a real roll.,14.4,1,"['it\x92s', 'cookie', 'roll', 'expect', 'dense', 'would', 'want', 'real', 'roll']"
Low Drizzle,Change,More of a roll /bread texture that is less dense. Less cinnamon for such a small amount.,0,1,"['roll', 'bread', 'texture', 'less', 'dense', 'less', 'cinnamon', 'small', 'amount']"
Low Drizzle,Change,"Less sweet, less grainy, less artificial and chemical flavor",40.33,2,"['less', 'sweet', 'less', 'grainy', 'less', 'artificial', 'chemical', 'flavor']"
High Drizzle,Change,Make less sweet and less grainy.  Make more fluffy.,40.33,2,"['make', 'less', 'sweet', 'less', 'grainy', 'make', 'fluffy']"
High Drizzle,Change,Too dense,0,3,['dense']
Low Drizzle,Change,"More frosting, softer, less dense",0,2,"['frost', 'soft', 'less', 'dense']"
Low Drizzle,Change,Nothing,0,1,['nothing']
High Drizzle,Change,More moist and a little more flavoring to add to the sweetness and cinnamon taste.,49.39,2,"['moist', 'little', 'flavoring', 'add', 'sweetness', 'cinnamon', 'taste']"
High Drizzle,Change,Nothing. I would buy. My kids would love it.,63.69,5,"['nothing', 'would', 'buy', 'kid', 'would', 'love']"
Low Drizzle,Change,"More frosting, looks lackluster with the little amount of frosting.",0,4,"['frost', 'look', 'lackluster', 'little', 'amount', 'frost']"
Low Drizzle,Change,Less sugar,0,4,"['less', 'sugar']"
High Drizzle,Change,"Less frosting, less sweet",34.92,1,"['less', 'frost', 'less', 'sweet']"
High Drizzle,Change,"It looks like a mini cookie, can it be more roll also it looks dry",36.12,5,"['look', 'like', 'mini', 'cookie', '\x93roll\x94', 'also', 'look', 'dry']"
Low Drizzle,Change,More cinnamon,0,4,['cinnamon']
Low Drizzle,Change,Just a tab bit softer,0,5,"['tab', 'bit', 'softer']"
High Drizzle,Change,Needs more flavor and just a little bit softer,0,4,"['need', 'flavor', 'little', 'bit', 'soft']"
High Drizzle,Change,Make it fluffier and less chewy or dense. Flavor is so strong,64.18,1,"['make', 'fluffy', 'less', 'chewy', 'dense', 'flavor', 'strong']"
Low Drizzle,Change,"Too chewy and soft, was more like a cookie",42.01,2,"['chewy', 'soft', 'like', 'cookie']"
Low Drizzle,Change,Size bigger,0,2,"['size', 'big']"
High Drizzle,Change,"Less dense, fluffier",0,3,"['less', 'dense', 'fluffier']"
High Drizzle,Change,Actually make it look like a cinnamon roll instead of prepackaged cookie. I was expecting a mini baked cinnamon roll from a tube. Would make them slightly larger,36.12,2,"['actually', 'make', 'look', 'like', 'cinnamon', 'roll', 'instead', 'prepackaged', 'cookie', 'expect', 'mini', 'bake', 'cinnamon', 'roll', 'tube', 'would', 'make', 'slightly', 'large']"
Low Drizzle,Change,More cinnamon and more frosting. I want it to look like a mini cinnamon roll that would come out of the tube. Would like it slightly larger,67.86,2,"['cinnamon', 'frost', 'want', 'look', 'like', 'mini', 'cinnamon', 'roll', 'would', 'come', 'tube', 'would', 'like', 'slightly', 'large']"
Low Drizzle,Change,I did not expect it to be so small,0,4,"['expect', 'small']"
High Drizzle,Change,I think they could be a little bit bigger,0,4,"['think', 'could', 'little', 'bit', 'big']"
High Drizzle,Change,The shape looks pretty flat but I could live with it,27.32,3,"['shape', 'look', 'pretty', 'flat', 'could', 'live']"
Low Drizzle,Change,More cinnamon flavor,0,4,"['cinnamon', 'flavor']"
Low Drizzle,Change,"Not enough frosting, frosting is too hard and not soft, product is more of a cookie than a cinnamon roll.",-10.27,2,"['enough', 'frost', 'frost', 'hard', 'soft', 'product', 'cookie', 'cinnamon', 'roll']"
High Drizzle,Change,I would make the frosting softer and the cookie bigger.,0,3,"['would', 'make', 'frosting', 'soft', 'cookie', 'big']"
High Drizzle,Change,I would like if they were a bit smaller and taller.,36.12,4,"['would', 'like', 'bit', 'small', 'taller']"
Low Drizzle,Change,A little bigger and taller and a little less grit in the texture.,0,4,"['little', 'big', 'taller', 'little', 'less', 'grit', 'texture']"
Low Drizzle,Change,"Not so much cinnamon, make it a more doughy texture",0,2,"['much', 'cinnamon', 'make', 'doughy', 'texture']"
High Drizzle,Change,Less cinnnamon,0,2,"['less', 'cinnnamon']"
High Drizzle,Change,It seems a bit dry and the size is quite small ~ it would take a lot to feed my kids. I would make it moist and increase the size by even just a little.,31.82,4,"['seem', 'bit', 'dry', 'size', 'quite', 'small', 'would', 'take', 'lot', 'feed', 'kid', 'would', 'make', 'moist', 'increase', 'size', 'even', 'little']"
Low Drizzle,Change,More moist and slightly larger size,0,4,"['moist', 'slightly', 'large', 'size']"
Low Drizzle,Change,A little more frosting or the option to microwave a small packet of frosting and dip in it,0,5,"['little', 'frost', 'option', 'microwave', 'small', 'packet', 'frost', 'dip']"
High Drizzle,Change,"Little larger size, depending on how many came in a serving",0,5,"['little', 'large', 'size', 'depend', 'many', 'come', 'serve']"
High Drizzle,Change,Make it a little bigger.,0,5,"['make', 'little', 'big']"
Low Drizzle,Change,Balance the flavors more like the first. More frosting.,42.01,3,"['balance', 'flavor', 'like', 'first', 'frosting']"
Low Drizzle,Change,I would make it with a little more frosting.,0,2,"['would', 'make', 'little', 'frosting']"
High Drizzle,Change,Size is too small,0,4,"['size', 'small']"
High Drizzle,Change,Make product not so dense,0,3,"['make', 'product', 'dense']"
Low Drizzle,Change,A little bigger in size,0,3,"['little', 'big', 'size']"
Low Drizzle,Change,"The look, it looks like a cookie not a cinnamon roll.",36.12,3,"['look', 'look', 'like', 'cookie', 'cinnamon', 'roll']"
High Drizzle,Change,"Too chewy, too muck like a cookie than a bread roll.",36.12,3,"['chewy', 'muck', 'like', 'cookie', 'bread', 'roll']"
High Drizzle,Change,Less frosting. We bake cinnamon rolls and leave off the frosting.,-5.16,4,"['less', 'frost', 'bake', 'cinnamon', 'roll', 'leave', 'frost']"
Low Drizzle,Change,I liked the first one better if the first one had less frosting,69.08,4,"['like', 'first', 'one', 'good', 'first', 'one', 'less', 'frosting']"
Low Drizzle,Change,"Well, if you want it to be a cinnamon roll then it needs to come apart, this is just like one solid piece",67.05,2,"['well', 'want', 'cinnamon', 'roll', 'need', 'come', 'apart', 'like', 'one', 'solid', 'piece']"
High Drizzle,Change,"I would make it taller, less frosting, swirled",0,2,"['would', 'make', 'taller', 'less', 'frosting', 'swirl']"
High Drizzle,Change,Maybe could be heated up,0,3,"['maybe', 'could', 'heat']"
Low Drizzle,Change,More frosting,0,4,['frost']
Low Drizzle,Change,More flavor or chewiness,0,4,"['flavor', 'chewiness']"
High Drizzle,Change,Not soft enough should be served warm,22.63,3,"['soft', 'enough', 'serve', 'warm']"
High Drizzle,Change,"Its perfect, I would change nothing",57.19,5,"['it\x92s', 'perfect', 'would', 'change', 'nothing']"
Low Drizzle,Change,Add more frosting,0,4,"['add', 'frost']"
Low Drizzle,Change,The texture was not what I expected and not like any cinnamon roll Ive tasted.  It was chewy and more dense than I would like.,-49.73,3,"['texture', 'expect', 'like', 'cinnamon', 'roll', 'i\x92ve', 'taste', 'chewy', 'dense', 'would', 'like']"
High Drizzle,Change,The cinnamon roll was much too chewy.  The texture reminded me more of a cookie than a cinnamon roll.,0,4,"['cinnamon', 'roll', 'much', 'chewy', 'texture', 'remind', 'cookie', 'cinnamon', 'roll']"
High Drizzle,Change,Bad after taste/too small,-54.23,1,"['bad', 'tastetoo', 'small']"
Low Drizzle,Change,Bigger size and more frosting,0,2,"['big', 'size', 'frosting']"
Low Drizzle,Change,It was a little grainy.,0,1,"['little', 'grainy']"
High Drizzle,Change,A little bigger in size and a smidge less grit.,0,1,"['little', 'big', 'size', 'smidge', 'less', 'grit']"
High Drizzle,Change,It needs less cinnamon and a doughier texture. It is more like a cookie than a roll. The flavor was very off.,42.01,1,"['need', 'less', 'cinnamon', 'doughy', 'texture', 'like', 'cookie', 'roll', 'flavor']"
Low Drizzle,Change,It needs to be more doughy. It needs more natural flavoring.,42.01,1,"['need', 'doughy', 'need', 'natural', 'flavoring']"
Low Drizzle,Change,The texture was horrible it was extremely dry and was more the a biscuit type of cookie,-54.23,2,"['texture', 'horrible', 'extremely', 'dry', 'biscuit', 'type', 'cookie']"
High Drizzle,Change,The texture was way off it was not  soft like a real cinnamon roll and was like biscuit,-49.73,2,"['texture', 'way', 'soft', 'like', 'real', 'cinnamon', 'roll', 'like', 'biscuit']"
High Drizzle,Change,Make them look more like cinnamon rolls they look like cookies with frosting.,67.94,2,"['make', 'look', 'like', 'cinnamon', 'roll', 'look', 'like', 'cooky', 'frost']"
Low Drizzle,Change,The texture its just too chewy in my mouth.,0,2,"['texture', 'it\x92s', 'chewy', 'mouth']"
Low Drizzle,Change,This tastes like an under baked cookie and not a cinnamon roll. Make it taste less like dough.,61.24,1,"['taste', 'like', 'baked', 'cookie', 'cinnamon', 'roll', 'make', 'taste', 'less', 'like', 'dough']"
High Drizzle,Change,Make it taste less like a cookie and more like a cinnamon roll.,52.9,1,"['make', 'taste', 'less', 'like', 'cookie', 'like', 'cinnamon', 'roll']"
High Drizzle,Change,The icing didn't have much flavor. A cream cheese taste wouldve been nice.,42.15,5,"['ice', 'didnt', 'much', 'flavor', 'cream', 'cheese', 'taste', 'would\x92ve', 'nice']"
Low Drizzle,Change,"A little more icing, more flavorful icing, more cinnamon, and a roll appearance would be nice.",42.15,5,"['little', 'ice', 'flavorful', 'ice', 'cinnamon', 'roll', 'appearance', 'would', 'nice']"
Low Drizzle,Change,"Texture tastes too chewy and unbaked, too much like dough",36.12,2,"['texture', 'taste', 'chewy', 'unbaked', 'much', 'like', 'dough']"
High Drizzle,Change,Too chewy and doughy tasting to me,0,4,"['chewy', 'doughy', 'taste']"
High Drizzle,Change,Its much too dense like a thick chewy cookie or browny bite. A cinnamoroll should be more pastry like,61.24,3,"['it\x92s', 'much', 'dense', 'like', 'thick', 'chewy', 'cookie', 'browny', 'bite', 'cinnamoroll', 'pastry', 'like']"
Low Drizzle,Change,Its needs to be more of a pastry. This is like a dense chewy cookie. I really wanted the texure of a cinnamon roll and not just the flavor.  This seems like a cinnamon roll flavored cookie or scone,61.24,1,"['it\x92s', 'need', 'pastry', 'like', 'dense', 'chewy', 'cookie', 'really', 'want', 'texure', 'cinnamon', 'roll', 'flavor', 'seem', 'like', 'cinnamon', 'roll', 'flavor', 'cookie', 'scone']"
Low Drizzle,Change,A little too small,0,4,"['little', 'small']"
High Drizzle,Change,A little too small. Seems like a lot of frosting.,36.12,4,"['little', 'small', 'seem', 'like', 'lot', 'frost']"
High Drizzle,Change,Make it slightly larger.,0,2,"['make', 'slightly', 'large']"
Low Drizzle,Change,"Add more frosting!,",0,2,"['add', 'frost']"
Low Drizzle,Change,"The texture and lack ofswirl. I would not call this a cinnamon roll, there was no roll to it.",-54.23,1,"['texture', 'lack', 'ofswirl', 'would', 'call', 'cinnamon', 'roll', 'roll']"
High Drizzle,Change,The texture. It tastes like a squished muffin. It has NO SWIRL!,-18.4,2,"['texture', 'taste', 'like', 'squish', 'muffin', 'swirl']"
High Drizzle,Change,I think I would make it so it could be heated up and/or just more cookie-like. Meaning the texture is too dense and chewy,0,2,"['think', 'would', 'make', 'could', 'heat', 'andor', 'cookielike', 'meaning', 'texture', 'dense', 'chewy']"
Low Drizzle,Change,More frosting and cinnamon flavor. I did not like the texture it was too chewy. It would be better if it was crunchy and marketed as a cookie,19.99,2,"['frost', 'cinnamon', 'flavor', 'like', 'texture', 'chewy', 'would', 'better', 'crunchy', 'market', 'cookie']"
Low Drizzle,Change,Put a little more cinnamon,0,3,"['put', 'little', 'cinnamon']"
High Drizzle,Change,"Nothing. This is absolutely perfect,",61.15,5,"['nothing', 'absolutely', 'perfect']"
High Drizzle,Change,Less grainy texture and more cinnamon flavor,0,3,"['less', 'grainy', 'texture', 'cinnamon', 'flavor']"
Low Drizzle,Change,Slightly larger size would be good. Reduce count and increase size to make it seem healthier. I only had one?,63.69,5,"['slightly', 'large', 'size', 'would', 'good', 'reduce', 'count', 'increase', 'size', 'make', 'seem', 'healthy', '\x93i', 'one', '\x94']"
High Drizzle,All Questions,Lots of flavor in a small bite size treat.,40.19,8,"['lot', 'flavor', 'small', 'bite', 'size', 'treat']"
Low Drizzle,All Questions,It was taller and not as flat,0,3,"['taller', 'flat']"
Low Drizzle,All Questions,The cinnamon flavor and texture were well balancd,27.32,6,"['cinnamon', 'flavor', 'texture', 'well', 'balancd']"
High Drizzle,All Questions,The sweet taste and texture,45.88,9,"['sweet', 'taste', 'texture']"
High Drizzle,All Questions,It was really soft and chewy. There was enough frosting on it also which made it sweet enough.,45.88,4,"['really', 'soft', 'chewy', 'enough', 'frost', 'also', 'make', 'sweet', 'enough']"
Low Drizzle,All Questions,It had a good cinnamon flavor,44.04,4,"['good', 'cinnamon', 'flavor']"
Low Drizzle,All Questions,Balance of soft and chewy was surprisingly good.,62.49,8,"['balance', 'soft', 'chewy', 'surprisingly', 'good']"
High Drizzle,All Questions,The frosting and softness.,0,9,"['frost', 'softness']"
High Drizzle,All Questions,It had the right amount of frosting,0,2,"['right', 'amount', 'frost']"
Low Drizzle,All Questions,"Better texture, less frosting, less dense",44.04,2,"['well', 'texture', 'less', 'frost', 'less', 'dense']"
Low Drizzle,All Questions,Softness when biting into it.,0,4,"['softness', 'biting']"
High Drizzle,All Questions,Good balance of cinnamon to sweet,70.96,7,"['good', 'balance', 'cinnamon', 'sweet']"
High Drizzle,All Questions,Nothing,0,2,['nothing']
Low Drizzle,All Questions,Nothing,0,1,['nothing']
Low Drizzle,All Questions,The appearance on the plate.,0,6,"['appearance', 'plate']"
High Drizzle,All Questions,Nice sweet taste with he extra frosting compared to other concept.,70.03,7,"['nice', 'sweet', 'taste', 'extra', 'frosting', 'compare', 'concept']"
High Drizzle,All Questions,I like the sugary flavor of the frosting along with the softness of the cinnamon roll.,36.12,6,"['like', 'sugary', 'flavor', 'frost', 'along', 'softness', 'cinnamon', 'roll']"
Low Drizzle,All Questions,This is a great sweet snack. I like the taste and sweetness.,91.53,7,"['great', 'sweet', 'snack', 'like', 'taste', 'sweetness']"
Low Drizzle,All Questions,Nothing,0,3,['nothing']
High Drizzle,All Questions,Nothing,0,3,['nothing']
High Drizzle,All Questions,Softness and freshness.,0,7,"['softness', 'freshness']"
Low Drizzle,All Questions,Softness,0,6,['softness']
Low Drizzle,All Questions,I enjoyed the flavor and strong cinnamon taste. I was also very pleased with the soft texture.,86.87,6,"['enjoy', 'flavor', 'strong', 'cinnamon', 'taste', 'also', 'please', 'soft', 'texture']"
High Drizzle,All Questions,I liked the cinnamon flavor and soft chewy texture.,42.15,6,"['liked', 'cinnamon', 'flavor', 'soft', 'chewy', 'texture']"
High Drizzle,All Questions,The chewiness of the cinnamon roll was a pleasant surprise.,65.97,6,"['chewiness', 'cinnamon', 'roll', 'pleasant', 'surprise']"
Low Drizzle,All Questions,The cinnamon roll was the perfect amount of sweetness without being overwhelming.,78.45,8,"['cinnamon', 'roll', 'perfect', 'amount', 'sweetness', 'without', 'overwhelm']"
High Drizzle,All Questions,The size; portable,0,4,"['size', 'portable']"
Low Drizzle,All Questions,The size,0,2,['size']
Low Drizzle,All Questions,"Soft, flavors were as expected from the picture.",0,5,"['soft', 'flavor', 'expect', 'picture']"
High Drizzle,All Questions,"Really nice balance of flavors, soft, moist and chewiness that I would expect from a full size, fresh cinnamon roll.",65.9,8,"['really', 'nice', 'balance', 'flavor', 'soft', 'moist', 'chewiness', 'would', 'expect', 'full', 'size', 'fresh', 'cinnamon', 'roll']"
Low Drizzle,All Questions,The taste and frosting were nice.,42.15,5,"['taste', 'frosting', 'nice']"
High Drizzle,All Questions,Good cinnamon flavor and it was very moist.,44.04,7,"['good', 'cinnamon', 'flavor', 'moist']"
High Drizzle,All Questions,"Bite size is very fun, love this for my kids or a quick breakfast on the go.",84.31,8,"['bite', 'size', 'fun', 'love', 'kid', 'quick', 'breakfast', 'go']"
Low Drizzle,All Questions,"Great for on the go, great flavor, not too much frosting, could be a little thicker/fluffy.",84.81,8,"['great', 'go', 'great', 'flavor', 'much', 'frosting', 'could', 'little', 'thickerfluffy']"
Low Drizzle,All Questions,Cinnamon taste and frosting,0,4,"['cinnamon', 'taste', 'frosting']"
High Drizzle,All Questions,Like the cinnamon and frosting amount and flavor,36.12,3,"['like', 'cinnamon', 'frosting', 'amount', 'flavor']"
High Drizzle,All Questions,This sample tasted like a cinnamon roll should taste. It left a very pleasant taste in my mouth. It was soft and chewable and the frosting was very good.,85.14,7,"['sample', 'taste', 'like', 'cinnamon', 'roll', 'taste', 'leave', 'pleasant', 'taste', 'mouth', 'soft', 'chewable', 'frosting', 'good']"
Low Drizzle,All Questions,"This sample tastes MORE like a cinnamon roll. While I dont like how the frosting looks, I do think there is enough to support the cinnamon taste and enhance the flavor. It seemed to be slightly more firm and less cookie like.",92.28,8,"['sample', 'taste', 'like', 'cinnamon', 'roll', 'don\x92t', 'like', 'frost', 'look', 'think', 'enough', 'support', 'cinnamon', 'taste', 'enhance', 'flavor', 'seem', 'slightly', 'firm', 'less', 'cookie', 'like']"
Low Drizzle,All Questions,It was soft and chewy. Cinnamon flavor was perfect.,57.19,8,"['soft', 'chewy', 'cinnamon', 'flavor', 'perfect']"
High Drizzle,All Questions,I loved the amount of frosting.,59.94,8,"['loved', 'amount', 'frosting']"
High Drizzle,All Questions,The texture and chewiness of the roll. I was expecting a dry texture and was pleasantly surprised by the soft texture.,61.24,6,"['texture', 'chewiness', 'roll', 'expect', 'dry', 'texture', 'pleasantly', 'surprise', 'soft', 'texture']"
Low Drizzle,All Questions,There was not an over powering amount of frosting on this mini cinnamon roll.,0,9,"['power', 'amount', 'frost', 'mini', 'cinnamon', 'roll']"
Low Drizzle,All Questions,Flavor and taste was ok,29.6,7,"['flavor', 'taste', 'ok']"
High Drizzle,All Questions,Taste was good,44.04,7,"['taste', 'good']"
High Drizzle,All Questions,"The taste was right on. The texture was smooth, and it was very tasty.",0,9,"['taste', 'right', 'texture', 'smooth', 'tasty']"
Low Drizzle,All Questions,I like the concept of a mini cinnamon roll quite a bit. The texture and the amount of moisture were right on.,36.12,9,"['like', 'concept', 'mini', 'cinnamon', 'roll', 'quite', 'bit', 'texture', 'amount', 'moisture', 'right']"
Low Drizzle,All Questions,"Good cinnamon flavor and right level of sweetness, The frosting did not overwhelm it.",76.62,3,"['good', 'cinnamon', 'flavor', 'right', 'level', 'sweetness', 'frost', 'overwhelm']"
High Drizzle,All Questions,Looks appealing as you can see the cinnamon and frosting is attractive.,44.04,4,"['look', 'appeal', 'see', 'cinnamon', 'frost', 'attractive']"
High Drizzle,All Questions,The cinnamon flavor I can really taste and liked the frosting not tasting chalky.,47.03,6,"['cinnamon', 'flavor', 'really', 'taste', 'liked', 'frost', 'taste', 'chalky']"
Low Drizzle,All Questions,"Not hard, can taste a little of cinnamon, small for kids to consume",7.62,5,"['hard', 'taste', 'little', 'cinnamon', 'small', 'kid', 'consume']"
Low Drizzle,All Questions,The softness was absolutely perfect! The overall flavor was pretty close to an baked cinnamon roll so I enjoyed the flavor too.,91.4,8,"['softness', 'absolutely', 'perfect', 'overall', 'flavor', 'pretty', 'close', 'baked', 'cinnamon', 'roll', 'enjoy', 'flavor']"
High Drizzle,All Questions,The amount of frosting is exactly right,0,8,"['amount', 'frost', 'exactly', 'right']"
High Drizzle,All Questions,The flavor combo of this cinnamon roll is perfect. The balance of cinnamonvanilla frostingand bread is heavenly.,82.71,8,"['flavor', 'combo', 'cinnamon', 'roll', 'perfect', 'balance', 'cinnamon\x92vanilla', 'frosting\x92and', 'bread', 'heavenly']"
Low Drizzle,All Questions,It has a great cinnamon roll taste. It tastes like a cinnamon roll should taste. But it is too sweet.,80.74,8,"['great', 'cinnamon', 'roll', 'taste', 'taste', 'like', 'cinnamon', 'roll', 'taste', 'sweet']"
Low Drizzle,All Questions,Bite size actual size my kids would love,63.69,7,"['bite', 'size', 'actual', 'size', 'kid', 'would', 'love']"
High Drizzle,All Questions,Love the frosting portion. It looks like the picture. No disappoinment!,69.96,8,"['love', 'frost', 'portion', 'look', 'like', 'picture', 'disappoinment']"
High Drizzle,All Questions,The frosting is fairly tasty and the roll isnt as rubbery as I thought it would be.,0,4,"['frost', 'fairly', 'tasty', 'roll', 'isn\x92t', 'rubbery', 'thought', 'would']"
Low Drizzle,All Questions,The frosting is tasty.,0,4,"['frost', 'tasty']"
Low Drizzle,All Questions,Nothing,0,1,['nothing']
High Drizzle,All Questions,Nothing,0,2,['nothing']
High Drizzle,All Questions,While I liked the texture the most it was not what I was expecting from a cinnamon roll but very good,73.43,6,"['liked', 'texture', 'expect', 'cinnamon', 'roll', 'good']"
Low Drizzle,All Questions,The cinnamon flavor and the after taste,0,7,"['cinnamon', 'flavor', 'taste']"
Low Drizzle,All Questions,I like the size and the initial flavor,36.12,5,"['like', 'size', 'initial', 'flavor']"
High Drizzle,All Questions,It didnt leave the aftertaste that the previous sample did and was just the right amount of sweetness.,45.88,6,"['didn\x92t', 'leave', 'aftertaste', 'previous', 'sample', 'right', 'amount', 'sweetness']"
High Drizzle,All Questions,"Small size, bite size, good for little fingers, kids.",44.04,2,"['small', 'size', 'bite', 'size', 'good', 'little', 'finger', 'kid']"
Low Drizzle,All Questions,"Just enough frosting, bite size and good for small hands",44.04,4,"['enough', 'frost', 'bite', 'size', 'good', 'small', 'hand']"
Low Drizzle,All Questions,It much actually,0,2,"['much', 'actually']"
High Drizzle,All Questions,It a lot other than it had more frosting,0,4,"['lot', 'frost']"
High Drizzle,All Questions,I liked the cinnamon flavor and the amount of frosting.,42.15,3,"['liked', 'cinnamon', 'flavor', 'amount', 'frost']"
Low Drizzle,All Questions,I like that it wasnt too sweet.,67.05,3,"['like', 'wasn\x92t', 'sweet']"
Low Drizzle,All Questions,I love cinnamon so it tasted better than expected.  I think this would be a great grab and go in the morning.,90.93,8,"['love', 'cinnamon', 'taste', 'well', 'expect', 'think', 'would', 'great', 'grab', 'go', 'morning']"
High Drizzle,All Questions,The amount of frosting.,0,8,"['amount', 'frosting']"
High Drizzle,All Questions,I liked the cinnamon flavor. It tasted moist and not dry.,42.15,8,"['liked', 'cinnamon', 'flavor', 'taste', 'moist', 'dry']"
