product_code,combined_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound,combined_compound
Chobani Smooth,"['smooth', 'texture', 'good']",0.4404,,,0.4404
Chobani Smooth,"['taste', 'smoothness']",0.0,,,0.0
Chobani Smooth,"['texture', 'smooth', 'flavorful', 'strawberry', 'good']",0.4404,,,0.4404
Chobani Smooth,"['good', 'taste', 'smooth', 'consistency', 'tart']",0.4404,,,0.4404
Chobani Smooth,"['taste', 'pretty', 'good', 'like', 'strawberry']",0.8225,,,0.8225
Chobani Smooth,"['smooth', 'texture', 'good', 'strawberry', 'taste']",0.4404,,,0.4404
Chobani Smooth,"['smooth', 'creamy', 'good', 'strawberry', 'flavor']",0.4404,,,0.4404
Chobani Smooth,"['taste', 'like', 'greek', 'yogurt', 'wasnt', 'wasnt', 'quite', 'thick', 'greek', 'yogurt']",0.1901,,,0.1901
Chobani Smooth,"['lot', 'strawberry', 'flavor', 'tart']",0.0,,,0.0
Chobani Smooth,"['good', 'taste', 'bland']",0.4404,,,0.4404
Chobani Smooth,['creaminess'],0.0,,,0.0
Chobani Smooth,['name'],0.0,,,0.0
Chobani Smooth,"['creamy', 'texture']",0.0,,,0.0
Chobani Smooth,"['creamy', 'texture']",0.0,,,0.0
Chobani Smooth,"['texture', 'taste']",0.0,,,0.0
Chobani Smooth,"['texture', 'taste']",0.0,,,0.0
Chobani Smooth,"['creamylots', 'fruit']",0.0,,,0.0
Chobani Smooth,"['mostly', 'smooth', 'get', '2', 'small', 'chunk', 'like', '11', 'gm', 'protein', 'lowfat']",0.3612,,,0.3612
Chobani Smooth,['lumpy'],0.0,,,0.0
Chobani Smooth,"['product', 'creamy', 'great', 'color']",0.6249,,,0.6249
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,"['good', 'strawberry', 'flavor']",0.4404,,,0.4404
Chobani Smooth,"['really', 'like', 'smooth', 'creamy']",0.4201,,,0.4201
Chobani Smooth,"['smell', 'color']",0.0,,,0.0
Chobani Smooth,"['think', 'taste', 'good', 'sweet']",0.1811,,,0.1811
Chobani Smooth,"['nice', 'flavor', 'like', 'smooth', 'texture', 'creamy']",0.6486,,,0.6486
Chobani Smooth,['tasty'],0.0,,,0.0
Chobani Smooth,"['attractive', 'packaging', 'easy', 'open', 'container']",0.7003,,,0.7003
Chobani Smooth,"['like', 'creamy', 'smoothnessthick', 'without', 'pasty']",0.4215,,,0.4215
Chobani Smooth,"['smoothness', 'texture']",0.0,,,0.0
Chobani Smooth,"['good', 'fruit', 'flavor', 'wasnt', 'overly', 'sweet']",0.1078,,,0.1078
Chobani Smooth,"['texture', 'creamy', 'nice', 'strawberry', 'flavor']",0.4703,,,0.4703
Chobani Smooth,"['great', 'taste', 'chunk', 'strawberry', 'smooth', 'texture', 'bad', 'taste']",-0.1531,,,-0.1531
Chobani Smooth,"['like', 'strawberry', 'flavor', 'little', 'tiny', 'chunk', 'strawberry']",0.4215,,,0.4215
Chobani Smooth,"['good', 'amount', 'strawberry', 'flavor', 'creamy', 'smooth']",0.4404,,,0.4404
Chobani Smooth,"['creaminess', 'smoothness']",0.0,,,0.0
Chobani Smooth,"['creaminess', 'smoothness']",0.0,,,0.0
Chobani Original,"['thought', 'would', 'big', 'chunk', 'fruit', 'since', 'say', 'fruit', 'bottom', 'mainly', 'juice', 'small', 'piece', 'fruit', 'bottom']",,0.0,,
Chobani Smooth,['none'],,0.0,,
Chobani Original,"['think', 'packaging', 'show', 'everything', 'yogurt', 'encompasses', 'like', 'letter', 'tell', 'fruit', 'bottom']",,0.3612,,
Chobani Smooth,"['say', 'low', 'fat', 'didnt', 'taste', 'like', 'low', 'fat', 'impress', 'taste']",,-0.071,,
Chobani Original,"['120', 'calorie', 'nonfat', 'yogurt', 'seem', 'like', 'lot', 'word', 'small', 'container', 'couldnt', 'read', 'itunder', 'picture', 'say', 'keep', 'real']",,0.3612,,
Chobani Smooth,"['content', 'label', 'difficult', 'read', 'hard', 'find']",,-0.4404,,
